mode,theme,component,id,role,variant,slot,route,surface,state,index,status,ratio,effectiveForeground,effectiveBackground,reason
baseline,light,semantic text,,primary,,text,/__functional-colors,default,idle,0,pass,5.878968459850046,"[121.999905, 59.99997, 226.000125, 1]","[255, 255, 255, 1]",
baseline,light,Badge,,primary,solid,base,/__functional-colors,default,idle,0,pass,5.878968459850046,"[255, 255, 255, 1]","[121.999905, 59.99997, 226.000125, 1]",
baseline,light,Alert,,primary,solid,title,/__functional-colors,default,idle,0,pass,5.878968459850046,"[255, 255, 255, 1]","[121.999905, 59.99997, 226.000125, 1]",
baseline,light,Alert,,primary,solid,description,/__functional-colors,default,idle,0,pass,5.070593355903083,"[241.69999049999998, 235.499997, 252.1000125, 1]","[121.999905, 59.99997, 226.000125, 1]",
baseline,light,Badge,,primary,outline,base,/__functional-colors,default,idle,0,pass,5.878968459850046,"[121.999905, 59.99997, 226.000125, 1]","[255, 255, 255, 1]",
baseline,light,Alert,,primary,outline,title,/__functional-colors,default,idle,0,pass,5.878968459850046,"[121.999905, 59.99997, 226.000125, 1]","[255, 255, 255, 1]",
baseline,light,Alert,,primary,outline,description,/__functional-colors,default,idle,0,pass,4.885597504315898,"[135.2999145, 79.49997299999998, 228.9001125, 1]","[255, 255, 255, 1]",
baseline,light,Badge,,primary,soft,base,/__functional-colors,default,idle,0,pass,5.070592283791552,"[121.999905, 59.99997, 226.000125, 1]","[241.699965, 235.49997150000002, 252.1000125, 1]",
baseline,light,Alert,,primary,soft,title,/__functional-colors,default,idle,0,pass,5.070592283791552,"[121.999905, 59.99997, 226.000125, 1]","[241.699965, 235.49997150000002, 252.1000125, 1]",
baseline,light,Alert,,primary,soft,description,/__functional-colors,default,idle,0,fail,4.294836562595693,"[133.969911, 77.54997015, 228.61011374999998, 1]","[241.699965, 235.49997150000002, 252.1000125, 1]",
baseline,light,Badge,,primary,subtle,base,/__functional-colors,default,idle,0,pass,5.070592283791552,"[121.999905, 59.99997, 226.000125, 1]","[241.699965, 235.49997150000002, 252.1000125, 1]",
baseline,light,Alert,,primary,subtle,title,/__functional-colors,default,idle,0,pass,5.070592283791552,"[121.999905, 59.99997, 226.000125, 1]","[241.699965, 235.49997150000002, 252.1000125, 1]",
baseline,light,Alert,,primary,subtle,description,/__functional-colors,default,idle,0,fail,4.294836562595693,"[133.969911, 77.54997015, 228.61011374999998, 1]","[241.699965, 235.49997150000002, 252.1000125, 1]",
baseline,light,Button,,primary,solid,base/label,/__functional-colors,default,idle,0,pass,5.878968459850046,"[255, 255, 255, 1]","[121.999905, 59.99997, 226.000125, 1]",
baseline,light,Button,,primary,solid,base/label,/__functional-colors,default,hover,0,fail,3.6490308932088684,"[255, 255, 255, 1]","[155.2497375, 108.74978625, 233.25009375, 1]",
baseline,light,Button,,primary,solid,base/label,/__functional-colors,default,active+hover,0,fail,3.6490308932088684,"[255, 255, 255, 1]","[155.2497375, 108.74978625, 233.25009375, 1]",
baseline,light,Button,,primary,solid,base/label,/__functional-colors,default,keyboard-focus,0,pass,5.878968459850046,"[255, 255, 255, 1]","[121.999905, 59.99997, 226.000125, 1]",
baseline,light,Button,,primary,solid,base/label,/__functional-colors,default,keyboard-active+focus,0,fail,3.6490308932088684,"[255, 255, 255, 1]","[155.2497375, 108.74978625, 233.25009375, 1]",
baseline,light,Button,,primary,solid,base/label,/__functional-colors,default,focus+hover,0,fail,3.6490308932088684,"[255, 255, 255, 1]","[155.2497375, 108.74978625, 233.25009375, 1]",
baseline,light,Button,,primary,link,base/label,/__functional-colors,default,idle,0,pass,5.878968459850046,"[121.999905, 59.99997, 226.000125, 1]","[255, 255, 255, 1]",
baseline,light,Button,,primary,link,base/label,/__functional-colors,default,hover,0,fail,3.6490308932088684,"[155.2497375, 108.74978625, 233.25009375, 1]","[255, 255, 255, 1]",
baseline,light,Button,,primary,link,base/label,/__functional-colors,default,active+hover,0,fail,3.6490308932088684,"[155.2497375, 108.74978625, 233.25009375, 1]","[255, 255, 255, 1]",
baseline,light,Button,,primary,link,base/label,/__functional-colors,default,keyboard-focus,0,pass,5.878968459850046,"[121.999905, 59.99997, 226.000125, 1]","[255, 255, 255, 1]",
baseline,light,Button,,primary,link,base/label,/__functional-colors,default,keyboard-active+focus,0,fail,3.6490308932088684,"[155.2497375, 108.74978625, 233.25009375, 1]","[255, 255, 255, 1]",
baseline,light,Button,,primary,link,base/label,/__functional-colors,default,focus+hover,0,fail,3.6490308932088684,"[155.2497375, 108.74978625, 233.25009375, 1]","[255, 255, 255, 1]",
baseline,light,semantic text,,secondary,,text,/__functional-colors,default,idle,0,fail,3.072241707809382,"[17.999991, 165.000045, 147.99996000000002, 1]","[255, 255, 255, 1]",
baseline,light,Badge,,secondary,solid,base,/__functional-colors,default,idle,0,fail,3.072241707809382,"[255, 255, 255, 1]","[17.999991, 165.000045, 147.99996000000002, 1]",
baseline,light,Alert,,secondary,solid,title,/__functional-colors,default,idle,0,fail,3.072241707809382,"[255, 255, 255, 1]","[17.999991, 165.000045, 147.99996000000002, 1]",
baseline,light,Alert,,secondary,solid,description,/__functional-colors,default,idle,0,fail,2.7650268961885356,"[231.2999991, 246.0000045, 244.299996, 1]","[17.999991, 165.000045, 147.99996000000002, 1]",
baseline,light,Badge,,secondary,outline,base,/__functional-colors,default,idle,0,fail,3.072241707809382,"[17.999991, 165.000045, 147.99996000000002, 1]","[255, 255, 255, 1]",
baseline,light,Alert,,secondary,outline,title,/__functional-colors,default,idle,0,fail,3.072241707809382,"[17.999991, 165.000045, 147.99996000000002, 1]","[255, 255, 255, 1]",
baseline,light,Alert,,secondary,outline,description,/__functional-colors,default,idle,0,fail,2.7450366262770274,"[41.69999189999999, 174.0000405, 158.69996400000002, 1]","[255, 255, 255, 1]",
baseline,light,Badge,,secondary,soft,base,/__functional-colors,default,idle,0,fail,2.765026299210927,"[17.999991, 165.000045, 147.99996000000002, 1]","[231.2998767, 246.0000045, 244.299996, 1]",
baseline,light,Alert,,secondary,soft,title,/__functional-colors,default,idle,0,fail,2.765026299210927,"[17.999991, 165.000045, 147.99996000000002, 1]","[231.2998767, 246.0000045, 244.299996, 1]",
baseline,light,Alert,,secondary,soft,description,/__functional-colors,default,idle,0,fail,2.4987370635185138,"[39.32997956999999, 173.10004095, 157.62996360000002, 1]","[231.2998767, 246.0000045, 244.299996, 1]",
baseline,light,Badge,,secondary,subtle,base,/__functional-colors,default,idle,0,fail,2.765026299210927,"[17.999991, 165.000045, 147.99996000000002, 1]","[231.2998767, 246.0000045, 244.299996, 1]",
baseline,light,Alert,,secondary,subtle,title,/__functional-colors,default,idle,0,fail,2.765026299210927,"[17.999991, 165.000045, 147.99996000000002, 1]","[231.2998767, 246.0000045, 244.299996, 1]",
baseline,light,Alert,,secondary,subtle,description,/__functional-colors,default,idle,0,fail,2.4987370635185138,"[39.32997956999999, 173.10004095, 157.62996360000002, 1]","[231.2998767, 246.0000045, 244.299996, 1]",
baseline,light,Button,,secondary,solid,base/label,/__functional-colors,default,idle,0,fail,3.072241707809382,"[255, 255, 255, 1]","[17.999991, 165.000045, 147.99996000000002, 1]",
baseline,light,Button,,secondary,solid,base/label,/__functional-colors,default,hover,0,fail,2.3114170446016873,"[255, 255, 255, 1]","[77.24907525, 187.50003375, 174.74997000000002, 1]",
baseline,light,Button,,secondary,solid,base/label,/__functional-colors,default,active+hover,0,fail,2.3114170446016873,"[255, 255, 255, 1]","[77.24907525, 187.50003375, 174.74997000000002, 1]",
baseline,light,Button,,secondary,solid,base/label,/__functional-colors,default,keyboard-focus,0,fail,3.072241707809382,"[255, 255, 255, 1]","[17.999991, 165.000045, 147.99996000000002, 1]",
baseline,light,Button,,secondary,solid,base/label,/__functional-colors,default,keyboard-active+focus,0,fail,2.3114170446016873,"[255, 255, 255, 1]","[77.24907525, 187.50003375, 174.74997000000002, 1]",
baseline,light,Button,,secondary,solid,base/label,/__functional-colors,default,focus+hover,0,fail,2.3114170446016873,"[255, 255, 255, 1]","[77.24907525, 187.50003375, 174.74997000000002, 1]",
baseline,light,Button,,secondary,link,base/label,/__functional-colors,default,idle,0,fail,3.072241707809382,"[17.999991, 165.000045, 147.99996000000002, 1]","[255, 255, 255, 1]",
baseline,light,Button,,secondary,link,base/label,/__functional-colors,default,hover,0,fail,2.3114170446016873,"[77.24907525, 187.50003375, 174.74997000000002, 1]","[255, 255, 255, 1]",
baseline,light,Button,,secondary,link,base/label,/__functional-colors,default,active+hover,0,fail,2.3114170446016873,"[77.24907525, 187.50003375, 174.74997000000002, 1]","[255, 255, 255, 1]",
baseline,light,Button,,secondary,link,base/label,/__functional-colors,default,keyboard-focus,0,fail,3.072241707809382,"[17.999991, 165.000045, 147.99996000000002, 1]","[255, 255, 255, 1]",
baseline,light,Button,,secondary,link,base/label,/__functional-colors,default,keyboard-active+focus,0,fail,2.3114170446016873,"[77.24907525, 187.50003375, 174.74997000000002, 1]","[255, 255, 255, 1]",
baseline,light,Button,,secondary,link,base/label,/__functional-colors,default,focus+hover,0,fail,2.3114170446016873,"[77.24907525, 187.50003375, 174.74997000000002, 1]","[255, 255, 255, 1]",
baseline,light,semantic text,,success,,text,/__functional-colors,default,idle,0,fail,3.100673742889534,"[68.99994, 165.000045, 86.99987999999999, 1]","[255, 255, 255, 1]",
